 ,Label,Area,Mean,X,Y
1,PRG_7102.JPG,0,93,1419.500,1749.500
2,PRG_7102.JPG,0,90,1423.500,1737
3,PRG_7102.JPG,0,94,1431,1721
4,PRG_7102.JPG,0,115,1433.500,1709
5,PRG_7102.JPG,0,118,1435.500,1692.500
6,PRG_7102.JPG,0,101,1443,1670.500
7,PRG_7102.JPG,0,93,1452,1645.500
8,PRG_7102.JPG,0,88,1458,1630.500
9,PRG_7102.JPG,0,93,1460.500,1621.500
10,PRG_7102.JPG,0,95,1461,1614
11,PRG_7102.JPG,0,102,1554,1455
12,PRG_7102.JPG,0,93,1558,1439.500
13,PRG_7102.JPG,0,93,1560,1427.500
14,PRG_7102.JPG,0,82,1557.500,1403
15,PRG_7102.JPG,0,38,1347,1383
16,PRG_7102.JPG,0,42,1347.500,1367.500
17,PRG_7102.JPG,0,37,1348.500,1364.500
18,PRG_7102.JPG,0,30,1355.500,1383
19,PRG_7102.JPG,0,33,1360,1380.500
20,PRG_7102.JPG,0,27,1363,1374.500
21,PRG_7102.JPG,0,28,1368,1373
22,PRG_7102.JPG,0,114,1314.500,1258
23,PRG_7102.JPG,0,104,1344,1244
24,PRG_7102.JPG,0,94,1363,1226
25,PRG_7102.JPG,0,24,1374.500,1232
26,PRG_7102.JPG,0,28,1370.500,1238
27,PRG_7102.JPG,0,31,1368,1243
28,PRG_7102.JPG,0,74,1384,948.500
29,PRG_7102.JPG,0,53,1406,948
30,PRG_7102.JPG,0,81,1635,1008.500
31,PRG_7102.JPG,0,68,1631,1024.500
32,PRG_7102.JPG,0,69,1614.500,1046
33,PRG_7102.JPG,0,58,1607,1065
34,PRG_7102.JPG,0,49,1604,1072.500
35,PRG_7102.JPG,0,44,1755,1011.500
36,PRG_7102.JPG,0,30,1770,1022
37,PRG_7102.JPG,0,52,1778,1024
38,PRG_7102.JPG,0,56,1805,1030
39,PRG_7102.JPG,0,55,1819,1034
40,PRG_7102.JPG,0,55,1826.500,1037
